time	SOL	GASLAT	GASMED	TA	SM	BFLH	VL	VM	RF	GMAX	GMED
0	0.0473267321960839	0.00639050256284556	0.0104659597853231	0.335203438596946	0.114250080015241	0.0202462559748014	0.00452133296891757	0.0096162486154219	0.00929371129987028	0.146644455059879	0.00275476337658992
0.00104166666666667	0.0459000623663224	0.00637348812080288	0.0104455313748569	0.323764856961993	0.114637307709669	0.0235551254371958	0.00485740002538813	0.00970502624349912	0.00930795052447389	0.144019626487962	0.00343812702634128
0.00208333333333333	0.0444818326540249	0.00635613428860767	0.0104224600066426	0.312393357666142	0.115156774183771	0.0270249112201478	0.00521099795118473	0.00980628942613957	0.00932276152853803	0.141390875165502	0.00416646943286391
0.003125	0.043077009815514	0.00633817259736597	0.0103965141086295	0.301128618809007	0.115814934412914	0.0306564694778587	0.00558251838137923	0.00992094662952331	0.00933839481144516	0.138767651715387	0.00494062892329318
0.00416666666666667	0.041690398496287	0.00631937983222592	0.0103676008499291	0.290006219751296	0.116618298231614	0.0344503864950859	0.00597232374559013	0.0100498157465882	0.00935516762233273	0.136159991938325	0.00576157640436599
0.00520833333333333	0.0403264620411723	0.00629956425624046	0.0103357858521399	0.279057439404268	0.117572923733271	0.0384068562082653	0.00638075742809226	0.0101936111492215	0.00937344135872047	0.133578466704247	0.00663042979150848
0.00625	0.0389891752827076	0.00627854501734481	0.010301290763267	0.268309337443552	0.118684018862426	0.0425255799861374	0.0068081609971827	0.0103529541134833	0.0093936052698848	0.131034008823273	0.0075484364021183
0.00729166666666667	0.0376819725252108	0.00625613413073904	0.0102644583394359	0.257784625968378	0.119955738810432	0.0468057103239419	0.00725486758513148	0.010528398731914	0.00941608907540338	0.128537738048293	0.00851692768971892
0.00833333333333333	0.0364078083861115	0.0062321113203955	0.0102256953794177	0.247501835176528	0.121391116809843	0.0512457858431563	0.00772116816105847	0.0107204421158893	0.00944135352427865	0.126100823643054	0.00953723955663443
0.009375	0.0351692825904651	0.00620621027387713	0.0101854164334454	0.237475926709001	0.122992305250998	0.0558436754992233	0.00820726793426412	0.0109295090255446	0.00946982964563647	0.123734335901765	0.0106106422178686
0.0104166666666667	0.0339687132594104	0.00617812119245505	0.0101440215747714	0.227718905382849	0.124760934441923	0.0605967115372507	0.00871326322280048	0.0111559273285733	0.00950185664639145	0.12144914695162	0.0117383240549921
0.0114583333333333	0.0328080936572052	0.00614749416080076	0.0101019134130586	0.218240395728259	0.126698181832921	0.0655020385335909	0.00923914076397221	0.0113999047678509	0.0095376594355877	0.119255862734083	0.0129214268127065
0.0125	0.0316889883566124	0.00611395928791243	0.0100595170898919	0.209048424922219	0.128804643239826	0.0705568894280117	0.00978477908642639	0.0116615080052001	0.0095773526034312	0.117164680012739	0.0141610846026931
0.0135416666666667	0.0306124861543171	0.00607716829740412	0.0100172751350749	0.200150144636325	0.131080071680064	0.0757586677186325	0.0103499702824754	0.0119406535105141	0.00962095504447137	0.115185192974976	0.0154584153329232
0.0145833333333333	0.0295792949002675	0.00603681626012411	0.00997561866403556	0.191552052500667	0.133522985588789	0.0811048313495541	0.0109344888250385	0.0122371192030905	0.00966843412679032	0.113326212272758	0.0168144534729996
0.015625	0.0285899105347186	0.00599262179532932	0.00993493057950908	0.183259713892264	0.1361304842778	0.0865925284529928	0.0115381780410976	0.0125505656320878	0.00971979449188651	0.111595556175335	0.0182300707040597
0.0166666666666667	0.027644677176187	0.00594430460731791	0.00989551347446598	0.17527718531458	0.138898412258115	0.0922182800276803	0.0121609939944597	0.0128805538524059	0.00977516637823129	0.109999773762669	0.0197059689240351
0.0177083333333333	0.0267437343487619	0.00589159040223247	0.00985756772614233	0.16760637326659	0.141821823837389	0.0979778722740365	0.0128029902989535	0.0132265662604826	0.00983483333241076	0.108543932051517	0.0212427428384997
0.01875	0.025887003718455	0.0058342245233283	0.00982119488441014	0.160246659077042	0.144895524480128	0.103866134428197	0.0134642806097991	0.0135880369790445	0.00989920339344528	0.107231597906036	0.0228409242167031
0.0197916666666667	0.0250742149910059	0.00577199931568055	0.00978643342780867	0.153194831634015	0.148114444701837	0.109876528112862	0.0141450125272485	0.0139643747270478	0.00996877803801381	0.106064868308937	0.0245009938057604
0.0208333333333333	0.0243048893368796	0.005704808432042	0.00975330661417887	0.146445073321304	0.151474420942912	0.116000833960919	0.0148453585185868	0.0143549571724123	0.0100441613578006	0.105044264881011	0.0262234112037732
0.021875	0.0235783118111413	0.00563268757824665	0.00972185788819077	0.139988944382326	0.154973155033536	0.122229090832405	0.0155655039165251	0.0147590997304708	0.0101260933273726	0.104168581465998	0.028008705781121
0.0229166666666667	0.0228935582606411	0.00555581302081035	0.00969215519779468	0.133815504928019	0.158609892008002	0.128549706597898	0.0163056029257377	0.0151760089969531	0.0102154557535648	0.103434877610435	0.0298576399408716
0.0239583333333333	0.0222495614264932	0.00547447560104261	0.0096642584312436	0.127911778919238	0.162384388905802	0.13494951886079	0.0170657032103628	0.015604727707798	0.0103132429813287	0.102838601158628	0.0317713654510826
0.025	0.0216451366622499	0.00538904919989536	0.0096381626976765	0.122264043560926	0.166297025361596	0.141413761486501	0.0178456915194953	0.0160440859993498	0.0104205418265841	0.102373651287639	0.0337514442270212
0.0260416666666667	0.0210789348260838	0.00529996150659397	0.00961374675191952	0.116860026761979	0.170349618733861	0.147926209073501	0.0186453087257893	0.0164926984327162	0.0105385456147105	0.102032348227122	0.0357996782973938
